Module,TCNO,Input1,Input2,Input3,ExpectationOutput,Output,Time,Method,Version,Purpose,BubDescription,BugSolutionResult
,TC1.030,rp1,"4,4","board.isEmpty({4,3})=False board.isEmpty({4,2})=False board.getPiece({4,2}).color=r","{4,5},{4,6},{4,7},{4,8},{0,4},{1,4},{2,4},{3,4},{5,4},{6,4},{7,4},{8,4},{9,4}",,,等价类+决策表,1,测试炮的走法（有障碍，且越过障碍第一个棋子为己方）,,
,TC1.031,rp1,"4,4","board.isEmpty({4,3})=False board.isEmpty({4,2})=False board.getPiece({4,2}).color=b","{4,2},{4,5},{4,6},{4,7},{4,8},{0,4},{1,4},{2,4},{3,4},{5,4},{6,4},{7,4},{8,4},{9,4}",,,等价类+决策表,1,测试炮的走法（有障碍，且越过障碍第一个棋子为敌方）,,
,TC1.032,rp1,"4,4","board.isEmpty({3,4})=False board.isEmpty({2,4})=False board.getPiece({2,4}).color=r","{4,0},{4,1},{4,2},{4,3},{4,5},{4,6},{4,7},{4,8},{5,4},{6,4},{7,4},{8,4},{9,4}",,,等价类+决策表,1,测试炮的走法（有障碍，且越过障碍第一个棋子为己方）,,
,TC1.033,rp1,"4,4","board.isEmpty({3,4})=False board.isEmpty({2,4})=False board.getPiece({2,4}).color=b","{4,0},{4,1},{4,2},{4,3},{4,5},{4,6},{4,7},{4,8},{2,4},{5,4},{6,4},{7,4},{8,4},{9,4}",,,等价类+决策表,1,测试炮的走法（有障碍，且越过障碍第一个棋子为己方）,,
,TC1.034,rx1,"7,0",NA,"{5,2},{9,2}",,,边界值+等价类+决策表,1,测试相的走法（无相/象脚）,,
,TC1.035,rx1,"7,4",NA,"{5,2},{5,6},{9,6},{9,2}",,,边界值+等价类,1,测试相的走法（无相/象脚）,,
,TC1.036,rx1,"7,8",NA,"{5,6},{9,6}",,,边界值+等价类,1,测试相的走法（无相/象脚）,,
,TC1.037,rx1,"5,2",NA,"{7,0},{7,4}",,,边界值+等价类,1,测试相的走法（无相/象脚）,,
,TC1.038,rx1,"5,6",NA,"{7,4},{7,8}",,,边界值+等价类,1,测试相的走法（无相/象脚）,,
,TC1.039,rx1,"9,2",NA,"{7,0},{7,4}",,,边界值+等价类,1,测试相的走法（无相/象脚）,,
,TC1.040,rx1,"9,6",NA,"{7,4},{7,8}",,,边界值+等价类,1,测试相的走法（无相/象脚）,,
,TC1.041,bx1,"2,0",NA,"{0,2},{4,2}",,,边界值+等价类,1,测试象的走法（无相/象脚）,,
,TC1.042,bx1,"2,4",NA,"{0,2},{0,6},{4,6},{4,2}",,,边界值+等价类,1,测试象的走法（无相/象脚）,,
,TC1.043,bx1,"2,8",NA,"{0,6},{4,6}",,,边界值+等价类,1,测试象的走法（无相/象脚）,,
,TC1.044,bx1,"4,2",NA,"{2,0},{2,4}",,,边界值+等价类,1,测试象的走法（无相/象脚）,,
,TC1.045,bx1,"4,6",NA,"{2,4},{2,8}",,,边界值+等价类,1,测试象的走法（无相/象脚）,,
,TC1.046,bx1,"0,2",NA,"{2,0},{2,4}",,,边界值+等价类,1,测试象的走法（无相/象脚）,,
,TC1.047,bx1,"0,6",NA,"{2,4},{2,8}",,,边界值+等价类,1,测试象的走法（无相/象脚）,,
,TC1.048,rx1,"7,4","board.isEmpty(5,2)=False board.getPiece({5,2}).color=r","{5,6},{9,6},{9,2}",,,等价类,1,测试相/象的走法（无相/象脚，下一步位置有己方障碍）,,
,TC1.049,rx1,"7,4","board.isEmpty(5,2)=False board.getPiece({5,2}).color=b","{5,2},{5,6},{9,6},{9,2}",,,等价类,1,测试相/象的走法（无相/象脚，下一步位置有敌方障碍）,,
,TC1.050,rx1,"7,4","board.isEmpty(6,3)=False","{5,6},{9,6},{9,2}",,,等价类,1,测试相/象的走法（有相/象脚）,,
,TC1.051,rs1,"9,3",NA,"{8,4}",,,边界值+等价类,1,测试红方士的走法（无障碍）,,
,TC1.052,rs1,"9,5",NA,"{8,4}",,,边界值+等价类,1,测试红方士的走法（无障碍）,,
,TC1.053,rs1,"8,4",NA,"{9,3},{9,5},{7,3},{7,5}",,,边界值+等价类,1,测试红方士的走法（无障碍）,,
,TC1.054,rs1,"7,3",NA,"{8,4}",,,边界值+等价类,1,测试红方士的走法（无障碍）,,
,TC1.055,rs1,"7,5",NA,"{8,4}",,,边界值+等价类,1,测试红方士的走法（无障碍）,,
,TC1.056,bs1,"0,3",NA,"{1,4}",,,边界值+等价类,1,测试蓝方仕的走法（无障碍）,,
,TC1.057,bs1,"0,5",NA,"{1,4}",,,边界值+等价类,1,测试蓝方仕的走法（无障碍）,,
,TC1.058,bs1,"1,4",NA,"{0,3},{0,5},{2,3},{2,5}",,,边界值+等价类,1,测试蓝方仕的走法（无障碍）,,
,TC1.059,bs1,"2,3",NA,"{1,4}",,,边界值+等价类,1,测试蓝方仕的走法（无障碍）,,
,TC1.060,bs1,"2,5",NA,"{1,4}",,,边界值+等价类,1,测试蓝方仕的走法（无障碍）,,
,TC1.061,rs1,"8,4","board.isEmpty(9,3)=False board.getPiece({9,3}).color=r","{9,5},{7,3},{7,5}",,,等价类,1,测试士的走法（有障碍，且障碍为己方）,,
,TC1.062,rs1,"8,4","board.isEmpty(9,3)=False board.getPiece({9,3}).color=b","{9,3},{9,5},{7,3},{7,5}",,,等价类,1,测试士的走法（有障碍，且障碍为敌方）,,
,TC1.063,rz1,"6,0",NA,"{5,0}",,,边界值+等价类,1,测试红方兵的走法（未过河）,,
,TC1.064,rz1,"6,2",NA,"{5,2}",,,边界值+等价类,1,测试红方兵的走法（未过河）,,
,TC1.065,rz1,"6,4",NA,"{5,4}",,,边界值+等价类,1,测试红方兵的走法（未过河）,,
,TC1.066,rz1,"6,6",NA,"{5,6}",,,边界值+等价类,1,测试红方兵的走法（未过河）,,
,TC1.067,rz1,"6,8",NA,"{5,8}",,,边界值+等价类,1,测试红方兵的走法（未过河）,,
,TC1.068,rz1,"4,0",NA,"{3,0},{4,1}",,,边界值+等价类,1,测试红方兵的走法（已过河）,,
,TC1.069,rz1,"4,2",NA,"{3,2},{4,1},{4,3}",,,边界值+等价类,1,测试红方兵的走法（已过河）,,
,TC1.070,rz1,"4,4",NA,"{3,4},{4,3},{4,5}",,,边界值+等价类,1,测试红方兵的走法（已过河）,,
,TC1.071,rz1,"4,6",NA,"{3,6},{4,5},{4,7}",,,边界值+等价类,1,测试红方兵的走法（已过河）,,
,TC1.072,rz1,"4,8",NA,"{3,8},{4,7}",,,边界值+等价类,1,测试红方兵的走法（已过河）,,
,TC1.073,bz1,"3,0",NA,"{4,0}",,,边界值+等价类,1,测试蓝方卒的走法（未过河）,,
,TC1.074,bz1,"3,2",NA,"{4,2}",,,边界值+等价类,1,测试蓝方卒的走法（未过河）,,
,TC1.075,bz1,"3,4",NA,"{4,4}",,,边界值+等价类,1,测试蓝方卒的走法（未过河）,,
,TC1.076,bz1,"3,6",NA,"{4,6}",,,边界值+等价类,1,测试蓝方卒的走法（未过河）,,
,TC1.077,bz1,"3,8",NA,"{4,8}",,,边界值+等价类,1,测试蓝方卒的走法（未过河）,,
,TC1.078,bz1,"5,0",NA,"{6,0},{5,1}",,,边界值+等价类,1,测试蓝方卒的走法（已过河）,,
,TC1.079,bz1,"5,2",NA,"{6,2},{5,1},{5,3}",,,边界值+等价类,1,测试蓝方卒的走法（已过河）,,
,TC1.080,bz1,"5,4",NA,"{6,4},{5,3},{5,5}",,,边界值+等价类,1,测试蓝方卒的走法（已过河）,,
,TC1.081,bz1,"5,6",NA,"{6,6},{5,5},{5,7}",,,边界值+等价类,1,测试蓝方卒的走法（已过河）,,
,TC1.082,bz1,"5,8",NA,"{6,8},{5,7}",,,边界值+等价类,1,测试蓝方卒的走法（已过河）,,
,TC1.083,rz1,"6,4","board.isEmpty(5,4)=False board.getPiece({5，4}).color=r",NA,,,等价类+决策表,1,测试卒的走法（未过河且有己方障碍）,,
,TC1.084,rz1,"6,4","board.isEmpty(5,4)=False board.getPiece({5，4}).color=b","{5,4}",,,等价类+决策表,1,测试卒的走法（未过河且有敌方障碍）,,
,TC1.085,rz1,"4,4","board.isEmpty(3,4)=False board.getPiece({3，4}).color=r","{4,3},{4,5}",,,等价类+决策表,1,测试卒的走法（已过河且有敌方障碍）,,
,TC1.086,rz1,"4,4","board.isEmpty(3,4)=False board.getPiece({3，4}).color=b","{3,4},{4,3},{4,5}",,,等价类+决策表,1,测试卒的走法（已过河且有敌方障碍）,,
,TC1.087,rb0,"7,4",NA,"{7,3},{7,5},{8,4}",,,边界值+等价类,1,测试红方帅的走法（无障碍）,,
,TC1.088,rb0,"8,4",NA,"{7,4},{8,5},{9,4},{8,3}",,,边界值+等价类,1,测试红方帅的走法（无障碍）,,
,TC1.089,rb0,"9,4",NA,"{9,3},{9,4},{8,4}",,,边界值+等价类,1,测试红方帅的走法（无障碍）,,
,TC1.090,rb0,"8,3",NA,"{7,3},{9,3},{8,4}",,,边界值+等价类,1,测试红方帅的走法（无障碍）,,
,TC1.091,rb0,"8,4",NA,"{7,4},{8,5},{9,4},{8,3}",,,边界值+等价类,1,测试红方帅的走法（无障碍）,,
,TC1.092,rb0,"8,5",NA,"{8,4},{7,5},{9,5}",,,边界值+等价类,1,测试红方帅的走法（无障碍）,,
,TC1.093,bb0,"1,3",NA,"{0,3},{2,3},{1,4}",,,边界值+等价类,1,测试蓝方将的走法（无障碍）,,
,TC1.094,bb0,"1,4",NA,"{1,3},{1,5},{0,4},{2,4}",,,边界值+等价类,1,测试蓝方将的走法（无障碍）,,
,TC1.095,bb0,"1,5",NA,"{1,4},{0,5},{2,5}",,,边界值+等价类,1,测试蓝方将的走法（无障碍）,,
,TC1.096,bb0,"0,4",NA,"{0,3},{0,5},{1,4}",,,边界值+等价类,1,测试蓝方将的走法（无障碍）,,
,TC1.097,bb0,"1,4",NA,"{1,3},{1,5},{0,4},{2,4}",,,边界值+等价类,1,测试蓝方将的走法（无障碍）,,
,TC1.098,bb0,"2,4",NA,"{2,3},{2,5},{1,4}",,,边界值+等价类,1,测试蓝方将的走法（无障碍）,,
,TC1.099,rb0,"8,4","board.isEmpty(7,4)=False board.getPiece({7，4}).color=r","{8,5},{9,4},{8,3}",,,等价类,1,测试帅的走法（有障碍，且障碍为己方）,,
,TC1.100,rb0,"8,4","board.isEmpty(7,4)=False board.getPiece({7，4}).color=b","{7,4},{8,5},{9,4},{8,3}",,,等价类,1,测试帅的走法（有障碍，且障碍为敌方）,,
